code1,code2,clone_label
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.96
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.93
while True: pass,for i in range(100): continue,0.29
def square(n): return n * n,"def square(n): return pow(n, 2)",0.86
"a = 5
b = 10
print(a + b)","def product(x, y): return x * y",0.23
def square(n): return n * n,print('World'),0.03
if a > b: print(a),if b < a: print(b),0.59
"def multiply(a, b): return a * b","def square(n): return pow(n, 2)",0.03
"def multiply(a, b): return a * b","i = 0
while i < 10:
    print(i)
    i += 1",0.36
def greet(): print('Hello'),def greet(): print('Hi'),0.75
if a > b: print(a),if b < a: print(b),0.59
print('Hello'),print('World'),0.0
for i in range(10): print(i),print('World'),0.22
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.97
def greet(): print('Hello'),def greet(): print('Hi'),0.86
if a > b: print(a),for i in range(100): continue,0.39
"def add(a, b): return a + b","def sum(x, y): return x + y",1.0
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.91
while True: pass,for i in range(100): continue,0.4
def square(n): return n * n,"def product(x, y): return x * y",0.04
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.99
"def divide(a, b): return a / b",for i in range(100): continue,0.25
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
if a > b: print(a),if b < a: print(b),0.47
"def divide(a, b): return a / b","def divide(x, y): return x / y",1.0
if a > b: print(a),"i = 0
while i < 10:
    print(i)
    i += 1",0.29
while True: pass,for i in range(100): continue,0.38
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.23
if a > b: print(a),print('World'),0.15
def square(n): return n * n,"def square(n): return pow(n, 2)",0.95
def square(n): return n * n,"def square(n): return pow(n, 2)",0.88
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.92
if a > b: print(a),"def square(n): return pow(n, 2)",0.04
def greet(): print('Hello'),def greet(): print('Hi'),0.8
print('Hello'),print('World'),0.0
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.64
"def divide(a, b): return a / b","def divide(x, y): return x / y",1.0
def square(n): return n * n,"def square(n): return pow(n, 2)",0.88
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.64
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.64
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.97
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
"def add(a, b): return a + b","def sum(x, y): return x + y",0.94
while True: pass,for i in range(100): continue,0.37
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.93
"def add(a, b): return a + b","x = 5
y = 10
print(x + y)",0.17
def square(n): return n * n,"def product(x, y): return x * y",0.1
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.78
def square(n): return n * n,"def square(n): return pow(n, 2)",0.99
def square(n): return n * n,"def square(n): return pow(n, 2)",0.8
if a > b: print(a),"def product(x, y): return x * y",0.09
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.95
def square(n): return n * n,"def divide(x, y): return x / y",0.15
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.76
def square(n): return n * n,"def square(n): return pow(n, 2)",0.89
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.61
def greet(): print('Hello'),def greet(): print('Hi'),0.86
if a > b: print(a),if b < a: print(b),0.51
"def multiply(a, b): return a * b",def greet(): print('Hi'),0.35
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.95
if a > b: print(a),if b < a: print(b),0.49
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.78
if a > b: print(a),"def square(n): return pow(n, 2)",0.36
"def add(a, b): return a + b","x = 5
y = 10
print(x + y)",0.28
"def divide(a, b): return a / b","x = 5
y = 10
print(x + y)",0.02
while True: pass,if b < a: print(b),0.03
print('Hello'),print('World'),0.03
while True: pass,for i in range(100): continue,0.36
while True: pass,for i in range(100): continue,0.31
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
def greet(): print('Hello'),def greet(): print('Hi'),0.89
for i in range(10): print(i),print('World'),0.16
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.92
"a = 5
b = 10
print(a + b)","def product(x, y): return x * y",0.37
while True: pass,for i in range(100): continue,0.22
if a > b: print(a),"x = 5
y = 10
print(x + y)",0.21
while True: pass,for i in range(100): continue,0.29
if a > b: print(a),if b < a: print(b),0.54
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.95
def square(n): return n * n,"def square(n): return pow(n, 2)",0.91
print('Hello'),print('World'),0.33
"def divide(a, b): return a / b","x = 5
y = 10
print(x + y)",0.32
if a > b: print(a),if b < a: print(b),0.54
def square(n): return n * n,"def product(x, y): return x * y",0.35
"def multiply(a, b): return a * b","def sum(x, y): return x + y",0.06
def square(n): return n * n,"def square(n): return pow(n, 2)",1.0
"def multiply(a, b): return a * b","x = 5
y = 10
print(x + y)",0.33
def greet(): print('Hello'),"x = 5
y = 10
print(x + y)",0.1
def greet(): print('Hello'),def greet(): print('Hi'),0.73
print('Hello'),"def divide(x, y): return x / y",0.01
"def divide(a, b): return a / b","def divide(x, y): return x / y",1.0
"def add(a, b): return a + b","def sum(x, y): return x + y",0.19
if a > b: print(a),print('World'),0.35
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
if a > b: print(a),if b < a: print(b),0.45
def square(n): return n * n,"def square(n): return pow(n, 2)",0.38
"def divide(a, b): return a / b",if b < a: print(b),0.19
while True: pass,for i in range(100): continue,0.29
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.94
if a > b: print(a),if b < a: print(b),0.55
if a > b: print(a),"x = 5
y = 10
print(x + y)",0.15
"def multiply(a, b): return a * b",for i in range(100): continue,0.27
if a > b: print(a),if b < a: print(b),0.57
while True: pass,for i in range(100): continue,0.36
def greet(): print('Hello'),def greet(): print('Hi'),0.88
"def add(a, b): return a + b","def sum(x, y): return x + y",0.91
def greet(): print('Hello'),def greet(): print('Hi'),0.75
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.77
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
"def multiply(a, b): return a * b",if b < a: print(b),0.23
def square(n): return n * n,"def square(n): return pow(n, 2)",0.84
"def multiply(a, b): return a * b","def sum(x, y): return x + y",0.15
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.65
"def add(a, b): return a + b","def sum(x, y): return x + y",1.0
while True: pass,print('World'),0.21
def greet(): print('Hello'),def greet(): print('Hi'),0.8
if a > b: print(a),if b < a: print(b),0.43
"def divide(a, b): return a / b","def divide(x, y): return x / y",1.0
def greet(): print('Hello'),def greet(): print('Hi'),0.14
print('Hello'),"def square(n): return pow(n, 2)",0.16
for i in range(10): print(i),print('World'),0.25
if a > b: print(a),if b < a: print(b),0.51
print('Hello'),"def product(x, y): return x * y",0.04
print('Hello'),print('World'),0.0
def greet(): print('Hello'),"def square(n): return pow(n, 2)",0.01
"def divide(a, b): return a / b",print('World'),0.17
def square(n): return n * n,"i = 0
while i < 10:
    print(i)
    i += 1",0.18
def greet(): print('Hello'),def greet(): print('Hi'),0.78
while True: pass,"def divide(x, y): return x / y",0.3
def greet(): print('Hello'),def greet(): print('Hi'),0.84
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.75
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.1
if a > b: print(a),if b < a: print(b),0.56
if a > b: print(a),if b < a: print(b),0.58
print('Hello'),print('World'),0.0
if a > b: print(a),if b < a: print(b),0.5
for i in range(10): print(i),"def sum(x, y): return x + y",0.24
"def add(a, b): return a + b","def sum(x, y): return x + y",0.99
def greet(): print('Hello'),"def square(n): return pow(n, 2)",0.2
while True: pass,for i in range(100): continue,0.26
"def divide(a, b): return a / b",def greet(): print('Hi'),0.32
def square(n): return n * n,"def square(n): return pow(n, 2)",0.89
"def add(a, b): return a + b","def sum(x, y): return x + y",1.0
def greet(): print('Hello'),def greet(): print('Hi'),0.77
for i in range(10): print(i),"x = 5
y = 10
print(x + y)",0.21
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
while True: pass,for i in range(100): continue,0.16
"def multiply(a, b): return a * b",print('World'),0.37
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.99
while True: pass,for i in range(100): continue,0.38
if a > b: print(a),if b < a: print(b),0.47
def square(n): return n * n,"def square(n): return pow(n, 2)",1.0
"def add(a, b): return a + b","def sum(x, y): return x + y",0.93
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.65
while True: pass,"def product(x, y): return x * y",0.09
def square(n): return n * n,"def square(n): return pow(n, 2)",0.94
"def multiply(a, b): return a * b","i = 0
while i < 10:
    print(i)
    i += 1",0.07
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
"def add(a, b): return a + b","i = 0
while i < 10:
    print(i)
    i += 1",0.33
"def add(a, b): return a + b","def sum(x, y): return x + y",0.93
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.71
def square(n): return n * n,"def square(n): return pow(n, 2)",0.81
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.62
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.72
def square(n): return n * n,if b < a: print(b),0.34
"def divide(a, b): return a / b",for i in range(100): continue,0.35
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.75
while True: pass,def greet(): print('Hi'),0.13
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.09
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.69
print('Hello'),print('World'),0.08
print('Hello'),"i = 0
while i < 10:
    print(i)
    i += 1",0.22
while True: pass,for i in range(100): continue,0.26
"def add(a, b): return a + b","def product(x, y): return x * y",0.23
while True: pass,for i in range(100): continue,0.27
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.95
"def divide(a, b): return a / b","def product(x, y): return x * y",0.23
if a > b: print(a),if b < a: print(b),0.4
"def multiply(a, b): return a * b",print('World'),0.08
"def multiply(a, b): return a * b","def divide(x, y): return x / y",0.37
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.9
def square(n): return n * n,"def square(n): return pow(n, 2)",0.83
if a > b: print(a),if b < a: print(b),0.47
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.96
"def divide(a, b): return a / b",print('World'),0.22
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.66
while True: pass,"def square(n): return pow(n, 2)",0.09
if a > b: print(a),"i = 0
while i < 10:
    print(i)
    i += 1",0.05
"a = 5
b = 10
print(a + b)",def greet(): print('Hi'),0.21
while True: pass,for i in range(100): continue,0.26
def greet(): print('Hello'),"def sum(x, y): return x + y",0.01
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.71
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.93
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.96
if a > b: print(a),"def square(n): return pow(n, 2)",0.07
"a = 5
b = 10
print(a + b)","i = 0
while i < 10:
    print(i)
    i += 1",0.05
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.91
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.02
if a > b: print(a),if b < a: print(b),0.45
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.95
if a > b: print(a),if b < a: print(b),0.52
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.95
while True: pass,for i in range(100): continue,0.39
def greet(): print('Hello'),def greet(): print('Hi'),0.74
while True: pass,for i in range(100): continue,0.36
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.66
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.92
"def add(a, b): return a + b","def sum(x, y): return x + y",0.94
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.62
if a > b: print(a),"def square(n): return pow(n, 2)",0.08
"def divide(a, b): return a / b","def sum(x, y): return x + y",0.38
if a > b: print(a),for i in range(100): continue,0.18
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.92
"def add(a, b): return a + b","def sum(x, y): return x + y",1.0
print('Hello'),print('World'),0.04
def square(n): return n * n,"def square(n): return pow(n, 2)",0.92
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.93
print('Hello'),print('World'),0.09
"def multiply(a, b): return a * b",def greet(): print('Hi'),0.06
"a = 5
b = 10
print(a + b)",for i in range(100): continue,0.17
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.79
while True: pass,if b < a: print(b),0.22
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.77
"def add(a, b): return a + b",print('World'),0.32
def greet(): print('Hello'),def greet(): print('Hi'),0.72
"def divide(a, b): return a / b","i = 0
while i < 10:
    print(i)
    i += 1",0.17
if a > b: print(a),if b < a: print(b),0.47
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.93
if a > b: print(a),if b < a: print(b),0.52
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.65
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.93
"def add(a, b): return a + b","def product(x, y): return x * y",0.31
print('Hello'),print('World'),0.1
def square(n): return n * n,"def square(n): return pow(n, 2)",0.9
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.68
"def add(a, b): return a + b","def sum(x, y): return x + y",1.0
def square(n): return n * n,"i = 0
while i < 10:
    print(i)
    i += 1",0.07
print('Hello'),def greet(): print('Hi'),0.26
for i in range(10): print(i),for i in range(100): continue,0.21
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
def square(n): return n * n,"def square(n): return pow(n, 2)",0.88
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
while True: pass,for i in range(100): continue,0.35
"def add(a, b): return a + b","def sum(x, y): return x + y",0.91
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
if a > b: print(a),if b < a: print(b),0.51
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
def greet(): print('Hello'),def greet(): print('Hi'),0.8
print('Hello'),"i = 0
while i < 10:
    print(i)
    i += 1",0.04
"def multiply(a, b): return a * b",print('World'),0.09
if a > b: print(a),if b < a: print(b),0.5
while True: pass,print('World'),0.4
def square(n): return n * n,"def square(n): return pow(n, 2)",0.94
if a > b: print(a),if b < a: print(b),0.45
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.91
def greet(): print('Hello'),def greet(): print('Hi'),0.71
"def add(a, b): return a + b","def sum(x, y): return x + y",1.0
"def multiply(a, b): return a * b","i = 0
while i < 10:
    print(i)
    i += 1",0.14
"def divide(a, b): return a / b","def divide(x, y): return x / y",1.0
"def divide(a, b): return a / b","def sum(x, y): return x + y",0.35
while True: pass,for i in range(100): continue,0.29
def square(n): return n * n,"def square(n): return pow(n, 2)",0.89
"a = 5
b = 10
print(a + b)",if b < a: print(b),0.25
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.96
"def add(a, b): return a + b","def sum(x, y): return x + y",0.91
"def divide(a, b): return a / b","def sum(x, y): return x + y",0.22
while True: pass,"def product(x, y): return x * y",0.33
"def divide(a, b): return a / b","def divide(x, y): return x / y",1.0
if a > b: print(a),if b < a: print(b),0.4
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.99
print('Hello'),print('World'),0.0
def square(n): return n * n,"def square(n): return pow(n, 2)",0.89
def square(n): return n * n,"def square(n): return pow(n, 2)",0.05
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
def greet(): print('Hello'),def greet(): print('Hi'),0.83
def greet(): print('Hello'),def greet(): print('Hi'),0.76
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.91
while True: pass,for i in range(100): continue,0.36
print('Hello'),print('World'),0.09
"a = 5
b = 10
print(a + b)","def square(n): return pow(n, 2)",0.15
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.98
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.98
"def divide(a, b): return a / b",print('World'),0.37
"def multiply(a, b): return a * b",for i in range(100): continue,0.05
if a > b: print(a),def greet(): print('Hi'),0.11
if a > b: print(a),if b < a: print(b),0.41
while True: pass,for i in range(100): continue,0.24
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
if a > b: print(a),if b < a: print(b),0.58
"def divide(a, b): return a / b","i = 0
while i < 10:
    print(i)
    i += 1",0.19
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.64
"def add(a, b): return a + b","def sum(x, y): return x + y",1.0
while True: pass,for i in range(100): continue,0.32
print('Hello'),if b < a: print(b),0.39
while True: pass,if b < a: print(b),0.09
while True: pass,"def product(x, y): return x * y",0.01
if a > b: print(a),if b < a: print(b),0.5
for i in range(10): print(i),def greet(): print('Hi'),0.27
"def add(a, b): return a + b","def divide(x, y): return x / y",0.09
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.19
def greet(): print('Hello'),def greet(): print('Hi'),0.86
"a = 5
b = 10
print(a + b)","def square(n): return pow(n, 2)",0.23
print('Hello'),if b < a: print(b),0.24
for i in range(10): print(i),"def product(x, y): return x * y",0.09
"def add(a, b): return a + b",for i in range(100): continue,0.16
for i in range(10): print(i),for i in range(100): continue,0.04
print('Hello'),print('World'),0.0
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.95
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.92
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.99
if a > b: print(a),print('World'),0.22
for i in range(10): print(i),if b < a: print(b),0.39
def greet(): print('Hello'),def greet(): print('Hi'),0.86
if a > b: print(a),if b < a: print(b),0.48
def square(n): return n * n,"x = 5
y = 10
print(x + y)",0.29
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.72
if a > b: print(a),"x = 5
y = 10
print(x + y)",0.14
while True: pass,for i in range(100): continue,0.2
"def divide(a, b): return a / b","i = 0
while i < 10:
    print(i)
    i += 1",0.21
def greet(): print('Hello'),def greet(): print('Hi'),0.75
def greet(): print('Hello'),def greet(): print('Hi'),0.83
def square(n): return n * n,"def divide(x, y): return x / y",0.38
while True: pass,for i in range(100): continue,0.22
